Caption,Tipo,Canais,Post time,Reach,Likes,Comments,Shares,Saves,Interações,Visitas ao perfil,Toques no site,botão de texto,Impressões,Na Pag Inicial,no perfil ,Hashtags,de Explorar,De Outra Pessoa,Seguidores
post108,Moda,Foto,6/12/2021,5480,71,0,2,8,25,21,4,0,6238,2323,3538,0,290,50,2
post109,Influencer,Carrossel,6/12/2021,5322,90,11,4,12,26,17,9,0,6633,2467,3769,0,373,19,2
post110,Moda,Carrossel,6/13/2021,15577,356,11,10,38,132,106,26,0,18484,10937,4323,0,2937,54,8
post111,Moda,Carrossel,6/14/2021,9611,200,9,11,77,145,107,38,0,12001,6340,4485,0,1061,84,4
post112,Moda,Carrossel,6/15/2021,8906,236,26,7,28,75,65,10,0,10941,4880,4065,0,1705,84,8
post113,Influencer,Foto,6/15/2021,6143,145,6,4,16,38,28,10,0,7327,3102,3509,0,463,31,6
post114,AA,Foto,6/16/2021,47658,2546,30,765,297,313,291,22,0,51365,24838,0,14271,8744,546,54
post115,Moda,Carrossel,6/17/2021,5358,73,2,1,8,10,9,1,0,6746,2720,3497,0,410,30,0
post116,Marca,Carrossel,6/17/2021,20204,755,14,7,27,284,235,49,0,23608,12105,4180,3948,0,16,40
post117,Marca,Carrossel,6/18/2021,11707,481,6,7,35,150,123,26,1,14696,9984,3458,0,1144,68,0
post118,Influencer,Carrossel,6/19/2021,6861,177,5,5,12,40,36,4,0,8806,4898,2959,0,868,72,2
post119,Moda,Foto,6/20/2021,5984,103,6,2,5,45,39,6,0,7035,3969,2624,0,310,79,2
post120,Marca,Carrossel,6/21/2021,5773,103,1,1,7,20,19,1,0,7371,3565,3372,0,350,75,4
post121,Marca,Carrossel,6/21/2021,5657,133,12,7,55,75,54,21,0,7534,3068,3523,0,336,53,6
post122,Moda,Carrossel,6/22/2021,7271,181,1,10,17,56,47,9,0,8916,4892,2811,0,1137,72,6
post123,Marca,Foto,6/23/2021,5251,119,5,0,4,24,22,2,0,6460,3215,2739,0,342,84,4
